taxon_order,species_code,bio_concept_code,primary_com_name,sci_name,value
445,torduc1,C1068510,Torrent Duck,Merganetta armata,IUCN_LC
452,saltea1,A9FC6BC0,Salvadori's Teal,Salvadorina waigiuensis,IUCN_LC
453,baitea,63EABB42,Baikal Teal,Sibirionetta formosa,IUCN_LC
454,gargan,F577BA0F,Garganey,Spatula querquedula,IUCN_LC
455,hottea1,FA831F65,Blue-billed Teal,Spatula hottentota,IUCN_LC
456,siltea1,C8F1E992,Silver Teal,Spatula versicolor,IUCN_LC
459,puntea1,86B0BAFA,Puna Teal,Spatula puna,IUCN_LC
460,buwtea,90E2543E,Blue-winged Teal,Spatula discors,IUCN_LC
461,cintea,0E599E6C,Cinnamon Teal,Spatula cyanoptera,IUCN_LC
469,redsho1,CEFACC86,Red Shoveler,Spatula platalea,IUCN_LC
470,capsho1,4670CF43,Cape Shoveler,Spatula smithii,IUCN_LC
471,aussho1,A21E7645,Australasian Shoveler,Spatula rhynchotis,IUCN_LC
474,norsho,ED4CE8E7,Northern Shoveler,Spatula clypeata,IUCN_LC
478,gadwal,C235A4D7,Gadwall,Mareca strepera,IUCN_LC
482,falduc,978D4485,Falcated Duck,Mareca falcata,IUCN_NT
485,eurwig,15EE0D36,Eurasian Wigeon,Mareca penelope,IUCN_LC
487,amewig,D201EB72,American Wigeon,Mareca americana,IUCN_LC
494,chiwig1,0B8AF41F,Chiloe Wigeon,Mareca sibilatrix,IUCN_LC
496,amsduc1,B52611C1,Amsterdam Duck,Mareca marecula,IUCN_EX
497,afbduc1,1EAFAD9F,African Black Duck,Anas sparsa,IUCN_LC
500,yebduc1,7F64AD87,Yellow-billed Duck,Anas undulata,IUCN_LC
503,melduc1,9BA03AF9,Meller's Duck,Anas melleri,IUCN_EN
504,pabduc1,07479AD9,Pacific Black Duck,Anas superciliosa,IUCN_LC
507,layduc,3F444E5A,Laysan Duck,Anas laysanensis,IUCN_CR
508,hawduc,250EA983,Hawaiian Duck,Anas wyvilliana,IUCN_VU
509,phiduc1,9AA3E5C2,Philippine Duck,Anas luzonica,IUCN_VU
510,isbduc1,759C5EB8,Indian Spot-billed Duck,Anas poecilorhyncha,IUCN_LC
513,spbduc,E21470F9,Eastern Spot-billed Duck,Anas zonorhyncha,IUCN_LC
515,mallar3,85625D75,Mallard,Anas platyrhynchos,IUCN_LC
537,ambduc,C732CB10,American Black Duck,Anas rubripes,IUCN_LC
550,captea1,25DA0F41,Cape Teal,Anas capensis,IUCN_LC
551,whcpin,D2F97D13,White-cheeked Pintail,Anas bahamensis,IUCN_LC
557,rebduc1,8F6876AC,Red-billed Duck,Anas erythrorhyncha,IUCN_LC
558,norpin,56CCA717,Northern Pintail,Anas acuta,IUCN_LC
566,eatpin1,8899CF64,Eaton's Pintail,Anas eatoni,IUCN_VU
569,yebpin1,B940CCD5,Yellow-billed Pintail,Anas georgica,IUCN_LC
588,spetea3,0642F0F9,Andean Teal,Anas andium,IUCN_LC
591,yebtea1,D4263C69,Yellow-billed Teal,Anas flavirostris,IUCN_LC
596,mauduc1,08F2BBC6,Mauritius Duck,Anas theodori,IUCN_EX
597,andtea1,EDB1BDAA,Andaman Teal,Anas albogularis,IUCN_VU
598,suntea1,EC92E98D,Sunda Teal,Anas gibberifrons,IUCN_NT
599,gretea1,9CBAFD8F,Gray Teal,Anas gracilis,IUCN_LC
603,chetea1,DBF66606,Chestnut Teal,Anas castanea,IUCN_LC
609,bertea1,7CBD0D73,Bernier's Teal,Anas bernieri,IUCN_EN
610,auitea1,92C1E596,Auckland Islands Teal,Anas aucklandica,IUCN_NT
611,caitea1,E804C52B,Campbell Islands Teal,Anas nesiotis,IUCN_VU
612,brotea1,DF842C45,Brown Teal,Anas chlorotis,IUCN_NT
617,pieduc1,FE03DD1E,Pink-eared Duck,Malacorhynchus membranaceus,IUCN_LC
618,martea1,6362936E,Marbled Duck,Marmaronetta angustirostris,IUCN_NT
619,pihduc1,8D0294E1,Pink-headed Duck,Rhodonessa caryophyllacea,IUCN_CR
620,whwduc1,FDB6503B,White-winged Duck,Asarcornis scutulata,IUCN_EN
621,recpoc,3EC2CDA9,Red-crested Pochard,Netta rufina,IUCN_LC
623,soupoc1,36C0242E,Southern Pochard,Netta erythrophthalma,IUCN_LC
626,robpoc1,03A3B616,Rosy-billed Pochard,Netta peposaca,IUCN_LC
627,canvas,1929E1E1,Canvasback,Aythya valisineria,IUCN_LC
628,redhea,3072CC16,Redhead,Aythya americana,IUCN_LC
631,compoc,A96692E0,Common Pochard,Aythya ferina,IUCN_VU
634,rinduc,0783A7EA,Ring-necked Duck,Aythya collaris,IUCN_LC
638,ferduc,7CF91527,Ferruginous Duck,Aythya nyroca,IUCN_NT
641,madpoc1,691757FF,Madagascar Pochard,Aythya innotata,IUCN_CR
642,baepoc1,750FE708,Baer's Pochard,Aythya baeri,IUCN_CR
646,wheduc1,ABEF107C,Hardhead,Aythya australis,IUCN_LC
648,tufduc,67CEA1C1,Tufted Duck,Aythya fuligula,IUCN_LC
654,nezsca1,3C157679,New Zealand Scaup,Aythya novaeseelandiae,IUCN_LC
655,gresca,25C94A8F,Greater Scaup,Aythya marila,IUCN_LC
661,lessca,5.06E+54,Lesser Scaup,Aythya affinis,IUCN_LC
671,steeid,BA07D016,Steller's Eider,Polysticta stelleri,IUCN_VU
672,labduc,80897D19,Labrador Duck,Camptorhynchus labradorius,IUCN_EX
