species_code	authority_ver	taxon_order	category	sci_name	primary_com_name	order1	family_sci_name	bio_concept_code	
rocpra2	2023	6302	subspecies	Glareola nuchalis liberiae	Rock Pratincole (Rufous-naped)	Charadriiformes	Glareolidae	EB5EAFA7	
rocpra3	2023	6303	subspecies	Glareola nuchalis nuchalis	Rock Pratincole (White-naped)	Charadriiformes	Glareolidae	DFFFA2AF	
grypra1	2023	6304	species	Glareola cinerea	Gray Pratincole	Charadriiformes	Glareolidae	B21AF428	
smapra1	2023	6305	species	Glareola lactea	Small Pratincole	Charadriiformes	Glareolidae	D9A310F1	
gresku1	2023	6326	species	Stercorarius skua	Great Skua	Charadriiformes	Stercorariidae	BB041C6E	
chisku1	2023	6327	species	Stercorarius chilensis	Chilean Skua	Charadriiformes	Stercorariidae	22214CD3	
sopsku1	2023	6332	species	Stercorarius maccormicki	South Polar Skua	Charadriiformes	Stercorariidae	7D1A9D5C	
brnsku3	2023	6328	species	Stercorarius antarcticus	Brown Skua	Charadriiformes	Stercorariidae	4D5D2BC3	
brnsku1	2023	6329	subspecies	Stercorarius antarcticus lonnbergi	Brown Skua (Subantarctic)	Charadriiformes	Stercorariidae	8FC49046	
sousku1	2023	6330	subspecies	Stercorarius antarcticus antarcticus	Brown Skua (Falkland)	Charadriiformes	Stercorariidae	0C8FB545	
brnsku2	2023	6331	subspecies	Stercorarius antarcticus hamiltoni	Brown Skua (Tristan)	Charadriiformes	Stercorariidae	A73FA387	
pomjae	2023	6323	species	Stercorarius pomarinus	Pomarine Jaeger	Charadriiformes	Stercorariidae	7CB8F5B7	
parjae	2023	6321	species	Stercorarius parasiticus	Parasitic Jaeger	Charadriiformes	Stercorariidae	39086887	
lotjae	2023	6318	species	Stercorarius longicaudus	Long-tailed Jaeger	Charadriiformes	Stercorariidae	1D446440	
doveki	2023	6376	species	Alle alle	Dovekie	Charadriiformes	Alcidae	B0932D89	
commur	2023	6384	species	Uria aalge	Common Murre	Charadriiformes	Alcidae	39F29B55	
thbmur	2023	6379	species	Uria lomvia	Thick-billed Murre	Charadriiformes	Alcidae	B70B5840	
razorb	2023	6372	species	Alca torda	Razorbill	Charadriiformes	Alcidae	64F4DD81	
greauk	2023	6375	species	Pinguinus impennis	Great Auk	Charadriiformes	Alcidae	57D2F32E	
blkgui	2023	6356	species	Cepphus grylle	Black Guillemot	Charadriiformes	Alcidae	B5AA5952	
blkgui2	2023	6357	subspecies	Cepphus grylle mandtii	Black Guillemot (mandtii)	Charadriiformes	Alcidae	B8998BB2	
blkgui1	2023	6358	issf	Cepphus grylle [grylle Group]	Black Guillemot (grylle Group)	Charadriiformes	Alcidae		
piggui	2023	6364	species	Cepphus columba	Pigeon Guillemot	Charadriiformes	Alcidae	2F5DF476	
piggui2	2023	6365	subspecies	Cepphus columba snowi	Pigeon Guillemot (snowi)	Charadriiformes	Alcidae	FE35AC18	
piggui1	2023	6366	issf	Cepphus columba [columba Group]	Pigeon Guillemot (columba Group)	Charadriiformes	Alcidae		
spegui1	2023	6363	species	Cepphus carbo	Spectacled Guillemot	Charadriiformes	Alcidae	90680520	
lobmur	2023	6353	species	Brachyramphus perdix	Long-billed Murrelet	Charadriiformes	Alcidae	0518820F	
marmur	2023	6355	species	Brachyramphus marmoratus	Marbled Murrelet	Charadriiformes	Alcidae	31557374	
kitmur	2023	6354	species	Brachyramphus brevirostris	Kittlitz's Murrelet	Charadriiformes	Alcidae	7AD855E2	
xanmur2	2023	6397	species	Synthliboramphus scrippsi	Scripps's Murrelet	Charadriiformes	Alcidae	85FE327B	
xanmur1	2023	6398	species	Synthliboramphus hypoleucus	Guadalupe Murrelet	Charadriiformes	Alcidae	2A8D086D	
cramur	2023	6400	species	Synthliboramphus craveri	Craveri's Murrelet	Charadriiformes	Alcidae	E04DDBBB	
ancmur	2023	6393	species	Synthliboramphus antiquus	Ancient Murrelet	Charadriiformes	Alcidae	ACA4FEFE	
japmur1	2023	6396	species	Synthliboramphus wumizusume	Japanese Murrelet	Charadriiformes	Alcidae	A332A7CE	
casauk	2023	6345	species	Ptychoramphus aleuticus	Cassin's Auklet	Charadriiformes	Alcidae	2CF6D6F6	
parauk	2023	6351	species	Aethia psittacula	Parakeet Auklet	Charadriiformes	Alcidae	2B46719D	
leaauk	2023	6348	species	Aethia pusilla	Least Auklet	Charadriiformes	Alcidae	044509DA	
whiauk	2023	6349	species	Aethia pygmaea	Whiskered Auklet	Charadriiformes	Alcidae	E3893615	
creauk	2023	6350	species	Aethia cristatella	Crested Auklet	Charadriiformes	Alcidae	3DC4EBB8	
rhiauk	2023	6337	species	Cerorhinca monocerata	Rhinoceros Auklet	Charadriiformes	Alcidae	53D94597	
atlpuf	2023	6339	species	Fratercula arctica	Atlantic Puffin	Charadriiformes	Alcidae	2771624B	
horpuf	2023	6343	species	Fratercula corniculata	Horned Puffin	Charadriiformes	Alcidae	24111FA5	
tufpuf	2023	6338	species	Fratercula cirrhata	Tufted Puffin	Charadriiformes	Alcidae	F7937349	
swtgul1	2023	6406	species	Creagrus furcatus	Swallow-tailed Gull	Charadriiformes	Laridae	07357A25	
bklkit	2023	6409	species	Rissa tridactyla	Black-legged Kittiwake	Charadriiformes	Laridae	FB4D08F0	
bklkit1	2023	6410	subspecies	Rissa tridactyla tridactyla	Black-legged Kittiwake (tridactyla)	Charadriiformes	Laridae	BA11E873	
bklkit2	2023	6411	subspecies	Rissa tridactyla pollicaris	Black-legged Kittiwake (pollicaris)	Charadriiformes	Laridae	2E1C68EC	
relkit	2023	6412	species	Rissa brevirostris	Red-legged Kittiwake	Charadriiformes	Laridae	58B576ED	
ivogul	2023	6414	species	Pagophila eburnea	Ivory Gull	Charadriiformes	Laridae	FED91A1F	
sabgul	2023	6415	species	Xema sabini	Sabine's Gull	Charadriiformes	Laridae	86182656	
saugul2	2023	6420	species	Saundersilarus saundersi	Saunders's Gull	Charadriiformes	Laridae	88BBD516	
slbgul1	2023	6421	species	Chroicocephalus genei	Slender-billed Gull	Charadriiformes	Laridae	27CE7132	
bongul	2023	6422	species	Chroicocephalus philadelphia	Bonaparte's Gull	Charadriiformes	Laridae	0337440E	
andgul1	2023	6430	species	Chroicocephalus serranus	Andean Gull	Charadriiformes	Laridae	A971CBD4	
