Scientific_name_eBird,English_name,Scientific_name_BirdLife,Continent,Peak_HTI,LowerCI_Peak_HTI,UpperCI_Peak_HTI,Conservative_HTI,LowerCI_Conservative_HTI,UpperCI_Conservative_HTI,Maximum_HTI,LowerCI_Maximum_HTI,UpperCI_Maximum_HTI,Missing_resampling_replicates
Accipiter bicolor,Bicolored Hawk,Accipiter bicolor,Latin_America,0.193877551,0.01734577,0.370409332,26.63877551,25.80923623,27.46831479,50,50,50,1
Accipiter brevipes,Levant Sparrowhawk,Accipiter brevipes,Europe,28.72,28.36198687,29.07801313,37.214,37.046894,37.381106,43.192,43.04363524,43.34036476,0
Accipiter cirrocephalus,Collared Sparrowhawk,Accipiter cirrocephalus,Oceania,50,50,50,50,50,50,50,50,50,0
Accipiter cooperii,Cooper's Hawk,Accipiter cooperii,North_America,49.384,49.11357659,49.65442341,49.988,49.97241117,50,50,50,50,0
Accipiter cooperii,Cooper's Hawk,Accipiter cooperii,Latin_America,24.786,22.93447558,26.63752442,39.698,38.47842477,40.91757523,44.704,43.57778652,45.83021348,0
Accipiter erythropus,Red-thighed Sparrowhawk,Accipiter erythropus,Africa,3.788,2.86494906,4.71105094,15.508,15.06694336,15.94905664,25.306,24.81787671,25.79412329,0
Accipiter fasciatus,Brown Goshawk,Accipiter fasciatus,Oceania,30.862,30.29990149,31.42409851,48.094,47.83459989,48.35340011,49.782,49.69050336,49.87349664,0
Accipiter francesiae,Frances's Sparrowhawk,Accipiter francesiae,Africa,14.24489796,12.97956352,15.5102324,28.70816327,27.67687814,29.73944839,37.50204082,35.95848678,39.04559485,1
Accipiter gentilis,Northern Goshawk,Accipiter gentilis,North_America,0.256,0.067613178,0.444386822,12.734,12.5480624,12.9199376,35.296,34.96288377,35.62911623,0
Accipiter gentilis,Northern Goshawk,Accipiter gentilis,Asia,4.830952381,3.441410972,6.22049379,25.63571429,23.39386879,27.87755979,35.75714286,34.25042408,37.26386164,8
Accipiter gentilis,Northern Goshawk,Accipiter gentilis,Europe,13.72244898,11.73412903,15.71076893,49.97755102,49.94837994,50,50,50,50,1
Accipiter gundlachi,Gundlach's Hawk,Accipiter gundlachi,Latin_America,21.556,21.25507989,21.85692011,34.104,33.8030387,34.4049613,41.424,41.18874152,41.65925848,0
Accipiter haplochrous,New Caledonia Goshawk,Accipiter haplochrous,Oceania,12.9787234,11.68520665,14.27224016,23.24680851,21.8862014,24.60741562,29.32340426,28.19328251,30.453526,3
Accipiter madagascariensis,Madagascar Sparrowhawk,Accipiter madagascariensis,Africa,10.12553191,8.566062998,11.68500083,22.67659574,21.40981964,23.94337184,29.91914894,28.65638272,31.18191516,3
Accipiter melanoleucus,Black Goshawk,Accipiter melanoleucus,Africa,44.82325581,41.91366775,47.73284388,49.63953488,49.38385178,49.89521799,49.76046512,49.55658192,49.96434832,7
Accipiter minullus,Little Sparrowhawk,Accipiter minullus,Africa,27.574,27.32943207,27.81856793,47.442,46.97396584,47.91003416,49.564,49.28630297,49.84169703,0
Accipiter nisus,Eurasian Sparrowhawk,Accipiter nisus,Asia,37.836,37.51232671,38.15967329,49.27,49.04915831,49.49084169,50,50,50,0
