Species1,Species2,Match.type,Match.notes,Avibase.ID1,Avibase.ID2,,,
Accipiter poliocephalus,Accipiter poliocephalus,1BL to 1eBird,,AVIBASE-435FF493,AVIBASE-435FF493,,,
Accipiter poliogaster,Accipiter poliogaster,1BL to 1eBird,,AVIBASE-707547BB,AVIBASE-707547BB,,,
Accipiter princeps,Accipiter princeps,1BL to 1eBird,,AVIBASE-B202721E,AVIBASE-B202721E,,,
Accipiter rhodogaster,Accipiter rhodogaster,1BL to 1eBird,,AVIBASE-C638D858,AVIBASE-C638D858,,,
Accipiter rufitorques,Accipiter rufitorques,1BL to 1eBird,,AVIBASE-5B6F04D7,AVIBASE-5B6F04D7,,,
Accipiter rufiventris,Accipiter rufiventris,1BL to 1eBird,,AVIBASE-EC0E680F,AVIBASE-EC0E680F,,,
Accipiter soloensis,Accipiter soloensis,1BL to 1eBird,,AVIBASE-D188E45C,AVIBASE-D188E45C,,,
Accipiter striatus,Accipiter striatus,1BL to 1eBird,,AVIBASE-3B024163,AVIBASE-3B024163,,,
Accipiter superciliosus,Accipiter superciliosus,1BL to 1eBird,,AVIBASE-F23F7695,AVIBASE-F23F7695,,,
Accipiter sylvestris,Accipiter hiogaster,Many BL to 1eBird,,AVIBASE-CB0C5D93,AVIBASE-A4AAB528,,,
Accipiter tachiro,Accipiter tachiro,1BL to 1eBird*,Imperfect match: eBird taxon contains subspecies unduliventer and croizati,AVIBASE-0262A612,AVIBASE-CD18635A,,,
Accipiter toussenelii,Accipiter toussenelii,1BL to 1eBird*,Imperfect match: eBird taxon excludes subspecies unduliventer and croizati,AVIBASE-DAF17A0B,AVIBASE-8AFD72B2,,,
Accipiter trinotatus,Accipiter trinotatus,1BL to 1eBird,,AVIBASE-0BED8100,AVIBASE-0BED8100,,,
Accipiter trivirgatus,Accipiter trivirgatus,1BL to 1eBird,,AVIBASE-0D4EE0EB,AVIBASE-0D4EE0EB,,,
Accipiter virgatus,Accipiter virgatus,1BL to 1eBird*,Imperfect match: eBird taxon includes subspecies nisoides,AVIBASE-A59A2D4D,AVIBASE-AB823002,,,
Aceros nipalensis,Aceros nipalensis,1BL to 1eBird,,AVIBASE-01391B1A,AVIBASE-01391B1A,,,
