Species1,Species2,Match.type,Match.notes,Avibase.ID1,Avibase.ID2,,,
Montecincla fairbanki,Montecincla fairbanki,1BL to 1eBird,,AVIBASE-7BF8790B,AVIBASE-7BF8790B,,,
Montecincla jerdoni,Montecincla jerdoni,1BL to 1eBird,,AVIBASE-F192C0CB,AVIBASE-F192C0CB,,,
Montecincla meridionalis,Montecincla meridionalis,1BL to 1eBird,,AVIBASE-9D9DBBDC,AVIBASE-9D9DBBDC,,,
Monticola angolensis,Monticola angolensis,1BL to 1eBird,,AVIBASE-57DB5D4E,AVIBASE-57DB5D4E,,,
Monticola brevipes,Monticola brevipes,1BL to 1eBird,,AVIBASE-A20D777F,AVIBASE-A20D777F,,,
Monticola cinclorhyncha,Monticola cinclorhyncha,1BL to 1eBird,,AVIBASE-A84C5E18,AVIBASE-A84C5E18,,,
Monticola erythronotus,Monticola sharpei,Many BL to 1eBird,,AVIBASE-6BE53CFC,AVIBASE-747DE096,,,
Monticola explorator,Monticola explorator,1BL to 1eBird,,AVIBASE-CCC257D0,AVIBASE-CCC257D0,,,
Monticola gularis,Monticola gularis,1BL to 1eBird,,AVIBASE-AC6BC1EC,AVIBASE-AC6BC1EC,,,
Monticola imerina,Monticola imerina,1BL to 1eBird*,Imperfect match: eBird taxon excludes subspecies salomonseni,AVIBASE-B04A4CCA,AVIBASE-7DFEBA9C,,,
Monticola rufiventris,Monticola rufiventris,1BL to 1eBird,,AVIBASE-7305993C,AVIBASE-7305993C,,,
Monticola rufocinereus,Monticola rufocinereus,1BL to 1eBird,,AVIBASE-566669CC,AVIBASE-566669CC,,,
Monticola rupestris,Monticola rupestris,1BL to 1eBird,,AVIBASE-22E11A7D,AVIBASE-22E11A7D,,,
Monticola saxatilis,Monticola saxatilis,1BL to 1eBird,,AVIBASE-736D38E7,AVIBASE-736D38E7,,,
Monticola semirufus,Thamnolaea semirufa,1BL to 1eBird,,AVIBASE-6A984F97,AVIBASE-6A984F97,,,
Monticola sharpei,Monticola sharpei,Many BL to 1eBird,,AVIBASE-F4CD196E,AVIBASE-747DE096,,,
Monticola solitarius,Monticola solitarius,1BL to 1eBird,,AVIBASE-41D76F4B,AVIBASE-41D76F4B,,,
Montifringilla adamsi,Montifringilla adamsi,1BL to 1eBird,,AVIBASE-0039BCC0,AVIBASE-0039BCC0,,,
Montifringilla henrici,Montifringilla henrici,1BL to 1eBird,,AVIBASE-D1C47869,AVIBASE-D1C47869,,,
Montifringilla nivalis,Montifringilla nivalis,1BL to 1eBird,,AVIBASE-3E389D03,AVIBASE-3E389D03,,,
Morococcyx erythropygus,Morococcyx erythropygus,1BL to 1eBird,,AVIBASE-BE08306A,AVIBASE-BE08306A,,,
Morphnarchus princeps,Morphnarchus princeps,1BL to 1eBird,,AVIBASE-C39D115A,AVIBASE-C39D115A,,,
Morphnus guianensis,Morphnus guianensis,1BL to 1eBird,,AVIBASE-E19434C9,AVIBASE-E19434C9,,,
Morus bassanus,Morus bassanus,1BL to 1eBird,,AVIBASE-534FB490,AVIBASE-534FB490,,,
Morus capensis,Morus capensis,1BL to 1eBird,,AVIBASE-775E93D7,AVIBASE-775E93D7,,,
Morus serrator,Morus serrator,1BL to 1eBird,,AVIBASE-13610344,AVIBASE-13610344,,,
Motacilla aguimp,Motacilla aguimp,1BL to 1eBird,,AVIBASE-CE7D41A6,AVIBASE-CE7D41A6,,,
Motacilla alba,Motacilla alba,1BL to 1eBird,,AVIBASE-400E032C,AVIBASE-400E032C,,,
Motacilla capensis,Motacilla capensis,1BL to 1eBird,,AVIBASE-4F2CC293,AVIBASE-4F2CC293,,,
Motacilla cinerea,Motacilla cinerea,1BL to 1eBird,,AVIBASE-AE073221,AVIBASE-AE073221,,,
Motacilla citreola,Motacilla citreola,1BL to 1eBird,,AVIBASE-5B0295C1,AVIBASE-5B0295C1,,,
Motacilla clara,Motacilla clara,1BL to 1eBird,,AVIBASE-747B3A52,AVIBASE-747B3A52,,,
Motacilla flava,Motacilla flava,1BL to 1eBird,,AVIBASE-5983D677,AVIBASE-5983D677,,,
Motacilla flaviventris,Motacilla flaviventris,1BL to 1eBird,,AVIBASE-B034A3E6,AVIBASE-B034A3E6,,,
Motacilla grandis,Motacilla grandis,1BL to 1eBird,,AVIBASE-B9F2A8B6,AVIBASE-B9F2A8B6,,,
Motacilla maderaspatensis,Motacilla maderaspatensis,1BL to 1eBird,,AVIBASE-F75CF94C,AVIBASE-F75CF94C,,,
Motacilla samveasnae,Motacilla samveasnae,1BL to 1eBird,,AVIBASE-FE9D807D,AVIBASE-FE9D807D,,,
Motacilla tschutschensis,Motacilla tschutschensis,1BL to 1eBird,,AVIBASE-5487B650,AVIBASE-5487B650,,,
Moupinia poecilotis,Moupinia poecilotis,1BL to 1eBird,,AVIBASE-D1A1B007,AVIBASE-D1A1B007,,,
Mulleripicus fuliginosus,Mulleripicus fuliginosus,1BL to 1eBird,,AVIBASE-009C0626,AVIBASE-009C0626,,,
Mulleripicus fulvus,Mulleripicus fulvus,1BL to 1eBird,,AVIBASE-8D1CF2FF,AVIBASE-8D1CF2FF,,,
Mulleripicus funebris,Mulleripicus funebris,1BL to 1eBird,,AVIBASE-9FDB05FE,AVIBASE-9FDB05FE,,,
Mulleripicus pulverulentus,Mulleripicus pulverulentus,1BL to 1eBird,,AVIBASE-F6ED89EE,AVIBASE-F6ED89EE,,,
Muscicapa adusta,Muscicapa adusta,1BL to 1eBird,,AVIBASE-6E95C4A9,AVIBASE-6E95C4A9,,,
Muscicapa aquatica,Muscicapa aquatica,1BL to 1eBird,,AVIBASE-77F0C62C,AVIBASE-77F0C62C,,,
Muscicapa cassini,Muscicapa cassini,1BL to 1eBird,,AVIBASE-A962CA14,AVIBASE-A962CA14,,,
Muscicapa dauurica,Muscicapa dauurica,1BL to many eBird,,AVIBASE-1E7228CE,AVIBASE-585D0B1A,,,
Muscicapa dauurica,Muscicapa sodhii,1BL to many eBird,,AVIBASE-1E7228CE,AVIBASE-5613E15E,,,
Muscicapa dauurica,Muscicapa williamsoni,1BL to many eBird,,AVIBASE-1E7228CE,AVIBASE-119680B1,,,
Muscicapa epulata,Muscicapa epulata,1BL to 1eBird,,AVIBASE-79574FC3,AVIBASE-79574FC3,,,
Muscicapa ferruginea,Muscicapa ferruginea,1BL to 1eBird,,AVIBASE-2DA49BD5,AVIBASE-2DA49BD5,,,
Muscicapa gambagae,Muscicapa gambagae,1BL to 1eBird,,AVIBASE-7387E828,AVIBASE-7387E828,,,
Muscicapa griseisticta,Muscicapa griseisticta,1BL to 1eBird,,AVIBASE-B4FF5927,AVIBASE-B4FF5927,,,
Muscicapa muttui,Muscicapa muttui,1BL to 1eBird,,AVIBASE-472841E9,AVIBASE-472841E9,,,
Muscicapa randi,Muscicapa randi,1BL to 1eBird,,AVIBASE-71563862,AVIBASE-71563862,,,
Muscicapa segregata,Muscicapa segregata,1BL to 1eBird,,AVIBASE-C8814B4A,AVIBASE-C8814B4A,,,
Muscicapa sethsmithi,Muscicapa sethsmithi,1BL to 1eBird,,AVIBASE-E78D263C,AVIBASE-E78D263C,,,
Muscicapa sibirica,Muscicapa sibirica,1BL to 1eBird,,AVIBASE-BCB683C2,AVIBASE-BCB683C2,,,
Muscicapa striata,Muscicapa striata,1BL to 1eBird,,AVIBASE-EE8206E7,AVIBASE-EE8206E7,,,
Muscigralla brevicauda,Muscigralla brevicauda,1BL to 1eBird,,AVIBASE-C1450281,AVIBASE-C1450281,,,
Muscipipra vetula,Muscipipra vetula,1BL to 1eBird,,AVIBASE-F2935FD2,AVIBASE-F2935FD2,,,
Muscisaxicola albifrons,Muscisaxicola albifrons,1BL to 1eBird,,AVIBASE-B2B73C71,AVIBASE-B2B73C71,,,
Muscisaxicola albilora,Muscisaxicola albilora,1BL to 1eBird,,AVIBASE-16B45960,AVIBASE-16B45960,,,
Muscisaxicola alpinus,Muscisaxicola alpinus,1BL to 1eBird,,AVIBASE-C0A4CA8F,AVIBASE-C0A4CA8F,,,
Muscisaxicola capistratus,Muscisaxicola capistratus,1BL to 1eBird,,AVIBASE-362568A3,AVIBASE-362568A3,,,
Muscisaxicola cinereus,Muscisaxicola cinereus,1BL to 1eBird,,AVIBASE-5B511416,AVIBASE-5B511416,,,
Muscisaxicola flavinucha,Muscisaxicola flavinucha,1BL to 1eBird,,AVIBASE-D96C90B5,AVIBASE-D96C90B5,,,
Muscisaxicola fluviatilis,Syrtidicola fluviatilis,1BL to 1eBird,,AVIBASE-61F27E71,AVIBASE-61F27E71,,,
Muscisaxicola frontalis,Muscisaxicola frontalis,1BL to 1eBird,,AVIBASE-6B482E47,AVIBASE-6B482E47,,,
Muscisaxicola griseus,Muscisaxicola griseus,1BL to 1eBird,,AVIBASE-E97B3BEA,AVIBASE-E97B3BEA,,,
Muscisaxicola juninensis,Muscisaxicola juninensis,1BL to 1eBird,,AVIBASE-7C4D58E9,AVIBASE-7C4D58E9,,,
Muscisaxicola maclovianus,Muscisaxicola maclovianus,1BL to 1eBird,,AVIBASE-604FFF1C,AVIBASE-604FFF1C,,,
Muscisaxicola maculirostris,Muscisaxicola maculirostris,1BL to 1eBird,,AVIBASE-DC8BFB79,AVIBASE-DC8BFB79,,,
Muscisaxicola occipitalis,Muscisaxicola rufivertex,Many BL to 1eBird,,AVIBASE-146D02D1,AVIBASE-2FC7B2A5,,,
Muscisaxicola rufivertex,Muscisaxicola rufivertex,Many BL to 1eBird,,AVIBASE-B839514F,AVIBASE-2FC7B2A5,,,
Musophaga rossae,Musophaga rossae,1BL to 1eBird,,AVIBASE-2C7BA3A6,AVIBASE-2C7BA3A6,,,
Musophaga violacea,Musophaga violacea,1BL to 1eBird,,AVIBASE-3893974C,AVIBASE-3893974C,,,
Myadestes coloratus,Myadestes coloratus,1BL to 1eBird,,AVIBASE-6EFA5695,AVIBASE-6EFA5695,,,
Myadestes elisabeth,Myadestes elisabeth,1BL to 1eBird,,AVIBASE-6FD86A69,AVIBASE-6FD86A69,,,
Myadestes genibarbis,Myadestes genibarbis,1BL to 1eBird,,AVIBASE-FE142904,AVIBASE-FE142904,,,
Myadestes lanaiensis,Myadestes lanaiensis,1BL to 1eBird,,AVIBASE-C52EFB11,AVIBASE-C52EFB11,,,
Myadestes melanops,Myadestes melanops,1BL to 1eBird,,AVIBASE-F76226A8,AVIBASE-F76226A8,,,
Myadestes obscurus,Myadestes obscurus,1BL to 1eBird,,AVIBASE-A1C41A3F,AVIBASE-A1C41A3F,,,
Myadestes occidentalis,Myadestes occidentalis,1BL to 1eBird,,AVIBASE-E4DF8DBE,AVIBASE-E4DF8DBE,,,
Myadestes palmeri,Myadestes palmeri,1BL to 1eBird,,AVIBASE-62B955D3,AVIBASE-62B955D3,,,
Myadestes ralloides,Myadestes ralloides,1BL to 1eBird,,AVIBASE-8FE62CA5,AVIBASE-8FE62CA5,,,
Myadestes townsendi,Myadestes townsendi,1BL to 1eBird,,AVIBASE-5459228D,AVIBASE-5459228D,,,
Myadestes unicolor,Myadestes unicolor,1BL to 1eBird,,AVIBASE-E294A36A,AVIBASE-E294A36A,,,
Mycerobas affinis,Mycerobas affinis,1BL to 1eBird,,AVIBASE-F7B5C386,AVIBASE-F7B5C386,,,
Mycerobas carnipes,Mycerobas carnipes,1BL to 1eBird,,AVIBASE-E3BD8022,AVIBASE-E3BD8022,,,
Mycerobas icterioides,Mycerobas icterioides,1BL to 1eBird,,AVIBASE-91A4FA36,AVIBASE-91A4FA36,,,
Mycerobas melanozanthos,Mycerobas melanozanthos,1BL to 1eBird,,AVIBASE-7AF5B51C,AVIBASE-7AF5B51C,,,
Mycteria americana,Mycteria americana,1BL to 1eBird,,AVIBASE-19196211,AVIBASE-19196211,,,
Mycteria cinerea,Mycteria cinerea,1BL to 1eBird,,AVIBASE-44B6A65A,AVIBASE-44B6A65A,,,
Mycteria ibis,Mycteria ibis,1BL to 1eBird,,AVIBASE-4F92C892,AVIBASE-4F92C892,,,
Mycteria leucocephala,Mycteria leucocephala,1BL to 1eBird,,AVIBASE-547013E2,AVIBASE-547013E2,,,
Myiagra albiventris,Myiagra albiventris,1BL to 1eBird,,AVIBASE-92CCC2A9,AVIBASE-92CCC2A9,,,
Myiagra alecto,Myiagra alecto,1BL to 1eBird,,AVIBASE-CE626FAD,AVIBASE-CE626FAD,,,
Myiagra atra,Myiagra atra,1BL to 1eBird,,AVIBASE-BF5FCA86,AVIBASE-BF5FCA86,,,
Myiagra azureocapilla,Myiagra azureocapilla,1BL to 1eBird,,AVIBASE-D37D32F3,AVIBASE-D37D32F3,,,
Myiagra caledonica,Myiagra caledonica,1BL to 1eBird,,AVIBASE-9C27FAE0,AVIBASE-9C27FAE0,,,
Myiagra castaneigularis,Myiagra castaneigularis,1BL to 1eBird,,AVIBASE-9B34EDF7,AVIBASE-9B34EDF7,,,
Myiagra cervinicauda,Myiagra cervinicauda,1BL to 1eBird,,AVIBASE-17D07BD8,AVIBASE-17D07BD8,,,
Myiagra cervinicolor,Myiagra hebetior,Many BL to 1eBird,,AVIBASE-BC87EEDE,AVIBASE-666BD58B,,,
Myiagra cyanoleuca,Myiagra cyanoleuca,1BL to 1eBird,,AVIBASE-32EAD9E6,AVIBASE-32EAD9E6,,,
Myiagra eichhorni,Myiagra hebetior,Many BL to 1eBird,,AVIBASE-CA6E8F69,AVIBASE-666BD58B,,,
Myiagra erythrops,Myiagra erythrops,1BL to 1eBird,,AVIBASE-EE035E28,AVIBASE-EE035E28,,,
Myiagra ferrocyanea,Myiagra ferrocyanea,1BL to 1eBird,,AVIBASE-84E82B76,AVIBASE-84E82B76,,,
Myiagra galeata,Myiagra galeata,1BL to 1eBird,,AVIBASE-052CD650,AVIBASE-052CD650,,,
Myiagra hebetior,Myiagra hebetior,Many BL to 1eBird,,AVIBASE-F33032D8,AVIBASE-666BD58B,,,
Myiagra inquieta,Myiagra inquieta,1BL to 1eBird,,AVIBASE-D15675EE,AVIBASE-D15675EE,,,
Myiagra nana,Myiagra nana,1BL to 1eBird,,AVIBASE-FC57A59E,AVIBASE-FC57A59E,,,
Myiagra oceanica,Myiagra oceanica,1BL to 1eBird,,AVIBASE-DD59969A,AVIBASE-DD59969A,,,
Myiagra pluto,Myiagra pluto,1BL to 1eBird,,AVIBASE-164C3F46,AVIBASE-164C3F46,,,
Myiagra rubecula,Myiagra rubecula,1BL to 1eBird,,AVIBASE-CCCF40F2,AVIBASE-CCCF40F2,,,
Myiagra ruficollis,Myiagra ruficollis,1BL to 1eBird,,AVIBASE-EAF37025,AVIBASE-EAF37025,,,
Myiagra vanikorensis,Myiagra vanikorensis,1BL to 1eBird,,AVIBASE-46DFA747,AVIBASE-46DFA747,,,
Myiarchus antillarum,Myiarchus antillarum,1BL to 1eBird,,AVIBASE-FCF63BDD,AVIBASE-FCF63BDD,,,
Myiarchus apicalis,Myiarchus apicalis,1BL to 1eBird,,AVIBASE-AA902955,AVIBASE-AA902955,,,
Myiarchus barbirostris,Myiarchus barbirostris,1BL to 1eBird,,AVIBASE-D0DB8932,AVIBASE-D0DB8932,,,
Myiarchus cephalotes,Myiarchus cephalotes,1BL to 1eBird,,AVIBASE-C7D1E218,AVIBASE-C7D1E218,,,
Myiarchus cinerascens,Myiarchus cinerascens,1BL to 1eBird,,AVIBASE-E0A04985,AVIBASE-E0A04985,,,
Myiarchus crinitus,Myiarchus crinitus,1BL to 1eBird,,AVIBASE-8D6D5F2B,AVIBASE-8D6D5F2B,,,
Myiarchus ferox,Myiarchus ferox,1BL to 1eBird,,AVIBASE-825CACEF,AVIBASE-825CACEF,,,
Myiarchus magnirostris,Myiarchus magnirostris,1BL to 1eBird,,AVIBASE-5D12E97B,AVIBASE-5D12E97B,,,
Myiarchus nugator,Myiarchus nugator,1BL to 1eBird,,AVIBASE-DFF4AD06,AVIBASE-DFF4AD06,,,
Myiarchus nuttingi,Myiarchus nuttingi,1BL to 1eBird,,AVIBASE-59A53D8B,AVIBASE-59A53D8B,,,
Myiarchus oberi,Myiarchus oberi,1BL to 1eBird,,AVIBASE-DBF55732,AVIBASE-DBF55732,,,
Myiarchus panamensis,Myiarchus panamensis,1BL to 1eBird,,AVIBASE-2A2A4A6F,AVIBASE-2A2A4A6F,,,
Myiarchus phaeocephalus,Myiarchus phaeocephalus,1BL to 1eBird,,AVIBASE-A5894F7C,AVIBASE-A5894F7C,,,
Myiarchus sagrae,Myiarchus sagrae,1BL to 1eBird,,AVIBASE-A7BEC2BF,AVIBASE-A7BEC2BF,,,
Myiarchus semirufus,Myiarchus semirufus,1BL to 1eBird,,AVIBASE-65D6284F,AVIBASE-65D6284F,,,
Myiarchus stolidus,Myiarchus stolidus,1BL to 1eBird,,AVIBASE-638BF4C5,AVIBASE-638BF4C5,,,
Myiarchus swainsoni,Myiarchus swainsoni,1BL to 1eBird,,AVIBASE-EF21F7B5,AVIBASE-EF21F7B5,,,
Myiarchus tuberculifer,Myiarchus tuberculifer,1BL to 1eBird,,AVIBASE-3D57A982,AVIBASE-3D57A982,,,
Myiarchus tyrannulus,Myiarchus tyrannulus,1BL to 1eBird,,AVIBASE-FC9E06A0,AVIBASE-FC9E06A0,,,
Myiarchus validus,Myiarchus validus,1BL to 1eBird,,AVIBASE-DBD0D60A,AVIBASE-DBD0D60A,,,
Myiarchus venezuelensis,Myiarchus venezuelensis,1BL to 1eBird,,AVIBASE-A1288AF2,AVIBASE-A1288AF2,,,
Myiarchus yucatanensis,Myiarchus yucatanensis,1BL to 1eBird,,AVIBASE-E920B48D,AVIBASE-E920B48D,,,
Myiobius atricaudus,Myiobius atricaudus,1BL to 1eBird,,AVIBASE-608B8260,AVIBASE-608B8260,,,
Myiobius barbatus,Myiobius barbatus,1BL to 1eBird,,AVIBASE-EC9D7A78,AVIBASE-EC9D7A78,,,
Myiobius sulphureipygius,Myiobius sulphureipygius,1BL to 1eBird,,AVIBASE-40F33966,AVIBASE-40F33966,,,
Myiobius villosus,Myiobius villosus,1BL to 1eBird,,AVIBASE-9C468DC3,AVIBASE-9C468DC3,,,
Myioborus albifacies,Myioborus albifacies,1BL to 1eBird,,AVIBASE-65DB5013,AVIBASE-65DB5013,,,
Myioborus albifrons,Myioborus albifrons,1BL to 1eBird,,AVIBASE-5B59921E,AVIBASE-5B59921E,,,
Myioborus brunniceps,Myioborus brunniceps,1BL to 1eBird,,AVIBASE-9E76EA56,AVIBASE-9E76EA56,,,
Myioborus cardonai,Myioborus cardonai,1BL to 1eBird,,AVIBASE-56671CF3,AVIBASE-56671CF3,,,
Myioborus castaneocapilla,Myioborus castaneocapilla,1BL to 1eBird,,AVIBASE-B19969D1,AVIBASE-B19969D1,,,
Myioborus chrysops,Myioborus ornatus,Many BL to 1eBird,,AVIBASE-F78FAC04,AVIBASE-0A4A6CF7,,,
Myioborus flavivertex,Myioborus flavivertex,1BL to 1eBird,,AVIBASE-5B7A8931,AVIBASE-5B7A8931,,,
Myioborus melanocephalus,Myioborus melanocephalus,1BL to 1eBird,,AVIBASE-A02798C6,AVIBASE-A02798C6,,,
Myioborus miniatus,Myioborus miniatus,1BL to 1eBird,,AVIBASE-CB8A9437,AVIBASE-CB8A9437,,,
Myioborus ornatus,Myioborus ornatus,Many BL to 1eBird,,AVIBASE-D291752B,AVIBASE-0A4A6CF7,,,
Myioborus pariae,Myioborus pariae,1BL to 1eBird,,AVIBASE-99FAC557,AVIBASE-99FAC557,,,
Myioborus pictus,Myioborus pictus,1BL to 1eBird,,AVIBASE-3255D987,AVIBASE-3255D987,,,
Myioborus torquatus,Myioborus torquatus,1BL to 1eBird,,AVIBASE-7CE22946,AVIBASE-7CE22946,,,
Myiodynastes bairdii,Myiodynastes bairdii,1BL to 1eBird,,AVIBASE-977CA271,AVIBASE-977CA271,,,
Myiodynastes chrysocephalus,Myiodynastes chrysocephalus,1BL to 1eBird*,"Imperfect match: eBird taxon includes subspecies minor, cinerascens",AVIBASE-BB58F50E,AVIBASE-077E33E3,,,
Myiodynastes hemichrysus,Myiodynastes hemichrysus,1BL to 1eBird*,"Imperfect match: eBird taxon excludes subspecies minor, cinerascens",AVIBASE-D460A5CB,AVIBASE-049A1D8F,,,
Myiodynastes luteiventris,Myiodynastes luteiventris,1BL to 1eBird,,AVIBASE-9DBB70D5,AVIBASE-9DBB70D5,,,
Myiodynastes maculatus,Myiodynastes maculatus,Many BL to 1eBird,,AVIBASE-C9B114BE,AVIBASE-D94C6177,,,
Myiodynastes solitarius,Myiodynastes maculatus,Many BL to 1eBird,,AVIBASE-C28FFE3F,AVIBASE-D94C6177,,,
Myiomela cambodiana,Myiomela leucura,Many BL to 1eBird,,AVIBASE-3713C563,AVIBASE-AFE66C21,,,
Myiomela diana,Myiomela diana,1BL to 1eBird,,AVIBASE-1C308E43,AVIBASE-1C308E43,,,
Myiomela leucura,Myiomela leucura,Many BL to 1eBird,,AVIBASE-0691DA78,AVIBASE-AFE66C21,,,
Myiopagis caniceps,Myiopagis caniceps,Many BL to 1eBird,,AVIBASE-EA9AA95C,AVIBASE-C3AAABEF,,,
Myiopagis cinerea,Myiopagis caniceps,Many BL to 1eBird,,AVIBASE-5423E1F8,AVIBASE-C3AAABEF,,,
Myiopagis cotta,Myiopagis cotta,1BL to 1eBird,,AVIBASE-321B1AA0,AVIBASE-321B1AA0,,,
Myiopagis flavivertex,Myiopagis flavivertex,1BL to 1eBird,,AVIBASE-890CA872,AVIBASE-890CA872,,,
Myiopagis gaimardii,Myiopagis gaimardii,1BL to 1eBird,,AVIBASE-54EC5236,AVIBASE-54EC5236,,,
Myiopagis olallai,Myiopagis olallai,1BL to 1eBird,,AVIBASE-DF86AF36,AVIBASE-DF86AF36,,,
Myiopagis parambae,Myiopagis caniceps,Many BL to 1eBird,,AVIBASE-9D2A5860,AVIBASE-C3AAABEF,,,
Myiopagis subplacens,Myiopagis subplacens,1BL to 1eBird,,AVIBASE-31842F4A,AVIBASE-31842F4A,,,
Myiopagis viridicata,Myiopagis viridicata,1BL to 1eBird,,AVIBASE-F219499B,AVIBASE-F219499B,,,
Myiophobus crypterythrus,Myiophobus fasciatus,Many BL to 1eBird,,AVIBASE-3CD56839,AVIBASE-83BB46D7,,,
Myiophobus cryptoxanthus,Myiophobus cryptoxanthus,1BL to 1eBird,,AVIBASE-512BC132,AVIBASE-512BC132,,,
Myiophobus fasciatus,Myiophobus fasciatus,Many BL to 1eBird,,AVIBASE-0402B179,AVIBASE-83BB46D7,,,
Myiophobus flavicans,Myiophobus flavicans,1BL to 1eBird,,AVIBASE-5D79CB29,AVIBASE-5D79CB29,,,
Myiophobus inornatus,Myiophobus inornatus,1BL to 1eBird,,AVIBASE-E9903459,AVIBASE-E9903459,,,
Myiophobus phoenicomitra,Myiophobus phoenicomitra,1BL to 1eBird,,AVIBASE-F9FB9FEE,AVIBASE-F9FB9FEE,,,
Myiophobus roraimae,Myiophobus roraimae,1BL to 1eBird,,AVIBASE-8B3AAC3B,AVIBASE-8B3AAC3B,,,
Myiophobus rufescens,Myiophobus fasciatus,Many BL to 1eBird,,AVIBASE-A3E31B1F,AVIBASE-83BB46D7,,,
Myiopsitta luchsi,Myiopsitta monachus,Many BL to 1eBird,,AVIBASE-FDD9A634,AVIBASE-11783075,,,
Myiopsitta monachus,Myiopsitta monachus,Many BL to 1eBird,,AVIBASE-35810386,AVIBASE-11783075,,,
Myiornis albiventris,Myiornis albiventris,1BL to 1eBird,,AVIBASE-D90821DF,AVIBASE-D90821DF,,,
Myiornis atricapillus,Myiornis atricapillus,1BL to 1eBird,,AVIBASE-F238A131,AVIBASE-F238A131,,,
Myiornis auricularis,Myiornis auricularis,1BL to 1eBird,,AVIBASE-20DB761B,AVIBASE-20DB761B,,,
Myiornis ecaudatus,Myiornis ecaudatus,1BL to 1eBird,,AVIBASE-B452B696,AVIBASE-B452B696,,,
Myiotheretes fumigatus,Myiotheretes fumigatus,1BL to 1eBird,,AVIBASE-0E03869D,AVIBASE-0E03869D,,,
Myiotheretes fuscorufus,Myiotheretes fuscorufus,1BL to 1eBird,,AVIBASE-DF0FEF41,AVIBASE-DF0FEF41,,,
Myiotheretes pernix,Myiotheretes pernix,1BL to 1eBird,,AVIBASE-EA2A3AC2,AVIBASE-EA2A3AC2,,,
Myiotheretes striaticollis,Myiotheretes striaticollis,1BL to 1eBird,,AVIBASE-8200F58C,AVIBASE-8200F58C,,,
Myiothlypis basilica,Myiothlypis basilica,1BL to 1eBird,,AVIBASE-FFEF8EFD,AVIBASE-FFEF8EFD,,,
Myiothlypis bivittata,Myiothlypis bivittata,Many BL to 1eBird,,AVIBASE-A9B288AF,AVIBASE-57507009,,,
Myiothlypis chlorophrys,Myiothlypis chrysogaster,Many BL to 1eBird,,AVIBASE-3A4B5A93,AVIBASE-3978B2F7,,,
Myiothlypis chrysogaster,Myiothlypis chrysogaster,Many BL to 1eBird,,AVIBASE-661FFC6F,AVIBASE-3978B2F7,,,
Myiothlypis cinereicollis,Myiothlypis cinereicollis,1BL to 1eBird,,AVIBASE-69D734FB,AVIBASE-69D734FB,,,
Myiothlypis conspicillata,Myiothlypis conspicillata,1BL to 1eBird,,AVIBASE-BA47292D,AVIBASE-BA47292D,,,
Myiothlypis coronata,Myiothlypis coronata,1BL to 1eBird,,AVIBASE-99F5D09F,AVIBASE-99F5D09F,,,
Myiothlypis euophrys,Myiothlypis luteoviridis,Many BL to 1eBird,,AVIBASE-597DE5D9,AVIBASE-9F080871,,,
Myiothlypis flaveola,Myiothlypis flaveola,1BL to 1eBird,,AVIBASE-40BD9900,AVIBASE-40BD9900,,,
Myiothlypis fraseri,Myiothlypis fraseri,1BL to 1eBird,,AVIBASE-A04DCB6C,AVIBASE-A04DCB6C,,,
Myiothlypis fulvicauda,Myiothlypis fulvicauda,1BL to 1eBird,,AVIBASE-0232E9DC,AVIBASE-0232E9DC,,,
Myiothlypis leucoblephara,Myiothlypis leucoblephara,1BL to 1eBird,,AVIBASE-D65E2A9D,AVIBASE-D65E2A9D,,,
Myiothlypis leucophrys,Myiothlypis leucophrys,1BL to 1eBird,,AVIBASE-27DCCC29,AVIBASE-27DCCC29,,,
Myiothlypis luteoviridis,Myiothlypis luteoviridis,Many BL to 1eBird,,AVIBASE-4AC550CE,AVIBASE-9F080871,,,
Myiothlypis mesoleuca,Myiothlypis rivularis,Many BL to 1eBird,,AVIBASE-D9B2CE6A,AVIBASE-A80CFACA,,,
Myiothlypis nigrocristata,Myiothlypis nigrocristata,1BL to 1eBird,,AVIBASE-3D4F2A70,AVIBASE-3D4F2A70,,,
Myiothlypis rivularis,Myiothlypis rivularis,Many BL to 1eBird,,AVIBASE-15C31434,AVIBASE-A80CFACA,,,
Myiothlypis roraimae,Myiothlypis bivittata,Many BL to 1eBird,,AVIBASE-C2548732,AVIBASE-57507009,,,
Myiothlypis signata,Myiothlypis signata,1BL to 1eBird,,AVIBASE-BBD736B2,AVIBASE-BBD736B2,,,
Myiothlypis striaticeps,Myiothlypis luteoviridis,Many BL to 1eBird,,AVIBASE-F37E3E96,AVIBASE-9F080871,,,
Myiotriccus ornatus,Myiotriccus ornatus,Many BL to 1eBird,,AVIBASE-8E5852C1,AVIBASE-8897A0C5,,,
Myiotriccus phoenicurus,Myiotriccus ornatus,Many BL to 1eBird,,AVIBASE-75C915AF,AVIBASE-8897A0C5,,,
Myiozetetes cayanensis,Myiozetetes cayanensis,1BL to 1eBird,,AVIBASE-B384278C,AVIBASE-B384278C,,,
Myiozetetes granadensis,Myiozetetes granadensis,1BL to 1eBird,,AVIBASE-DCCFF7D4,AVIBASE-DCCFF7D4,,,
Myiozetetes luteiventris,Myiozetetes luteiventris,1BL to 1eBird,,AVIBASE-D486B51A,AVIBASE-D486B51A,,,
