"species","iucn.ordinal","max.acad","trend","bl.range.size","range.size","median.abund","hti","mig.distance","ebird.mig.dist","edge.score","sp.dist","gen.field","morph.field"
"Poospiza_whitii",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Pseudospingus_verticalis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Pseudospingus_xanthophthalmus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Cnemoscopus_rubrirostris",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Piezorina_cinerea",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Xenospingus_concolor",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Saltator_aurantiirostris",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Saltator_maxillosus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Saltator_cinctus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Saltator_fuliginosus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Saltator_grossus",1,2,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Saltator_nigriceps",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Saltator_atriceps",1,2,0.15,1,3,4,4,1,3,1,1,1,1
"Saltator_atripennis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Saltator_maximus",1,2,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Saltator_grandis",1,2,0.15,1,3,4,4,1,3,1,1,1,1
"Saltator_olivascens",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Saltator_coerulescens",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Saltator_albicollis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Saltator_striatipectus",1,2,3,1,3,4,4,1,3,1,1,1,1
"Saltator_similis",1,0.1,0.15,1,3,4,4,1,3,1,1,1,1
